"Code", "Product", "0.75", "contracted rates"
"37", 141, "other to a resource - from 6000 to 11999 minutes", 9987.82,13317.0933333333
"38", 143, "Schizophrenia - from 12000 up to 17999 minutes", 18053.47,24071.2933333333
"39", 144, "Schizophrenia - from 18000 up to 23999 minutes", 25460.92,33947.8933333333
"40", 146 "Depression - from 12000 to 17999 minutes," 18715.73,24954.3066666667
"41", 148, "Bipolar and others - from 6000 up to 11999 minutes", 10485.79,13981.0533333333
"42", 150 "Anxiety - from 12000 to 17999 minutes," 20454.53,27272.7066666667
"43", 156, "Miscellaneous group diagnoses - from 6000 up to 11999 minutes", 11360.12,15146.8266666667
"44", 158 "Personality - from 12000 to 17999 minutes," 17728.29,23637.72
"45", 162, "Diagnostics - from 400 through 799 minutes", 822.67,1096.89333333333
"46", 165, "Crisis - from 800 to 1199 minutes," 1415.24,1886.98666666667
"47", 169, "Attention Deficit - and Behavior - from 800 to 1799 minutes," 1820.45,2427.26666666667
"48", 170, "Attention Deficit - and behavior - from 12000 to 17999 minutes," 17622.24,23496.32
"49", 172, "Pervasive - from 800 to 1799 minutes", 1677.93,2237.24
"50", 173 "Pervasive - from 12000 to 17999 minutes," 20111.6,26815.4666666667
"51", 175 "Other childhood - from 6000 to 11999 minutes," 12139.04,16185.3866666667
"52", 177 "Delirium and dementia other - from 12000 to 17999 minutes," 19404.1,25872.1333333333
"53", 178 "Delirium and dementia other - from 18000 minutes," 26691.49,35588.6533333333
"54", 179 "Alcohol - from 12000 to 17999 minutes," 17759.16,23678.88
"55", 180, "Alcohol - for 18000 minutes", 32865.3,43820.4
"56", 181, "other to a resource - from 800 to 1799 minutes," 1583.5,2111.33333333333
"57", 182 "to other means - from 12000 to 17999 minutes," 17087.47,22783.2933333333
"58", 183, "other to an agent - for 18000 minutes", 32453.32,43271.0933333333
"59", 184, "Schizophrenia - from 800 to 1799 minutes," 1765.39,2353.85333333333
"60", 185, "Schizophrenia - from 24000 up to 29999 minutes", 31284.09,41712.12
"61", 186 "Schizophrenia - from 30000 minutes," 10420.11,13893.48
"62", 187, "Depression - from 18000 up to 23999 minutes", 28200.64,37600.8533333333
"63", 188, "Depression - from 24000 minutes," 36785.78,49047.7066666667
"64", 189 "Bipolar and other - from 250 to 799 minutes," 937.67,1250.22666666667
"65", 190, "Bipolar and others - from 1800 to 2999 minutes," 3227.96,4303.94666666667
"66", 191 "Bipolar and other - from 12000 to 17999 minutes," 18432.22,24576.2933333333
"67", 192 "Bipolar and other - from 18000 minutes," 29745.01,39660.0133333333
"68", 193, "Anxiety - from 3000 to 5999 minutes," 5487.52,7316.69333333333
"69", 194, "Anxiety - from 6000 up to 11999 minutes", 11619.95,15493.2666666667
"70", 195 "Anxiety - from 18000 to 23999 minutes," 28476.99,37969.32
"71", 196 "Anxiety - from 24000 minutes," 34733.39,46311.1866666667
"72", 203, "Miscellaneous group diagnoses - from 800 to 1799 minutes," 1861.4,2481.86666666667
"73", 204, "Miscellaneous group diagnoses - from 12000 to 17999 minutes," 19917.52,26556.6933333333
"74", 205, "Miscellaneous group diagnoses - from 18000 minutes," 31293.38,41724.5066666667
"75", 206, "Personality - from 800 to 1799 minutes," 1782.88,2377.17333333333
"76", 207 "Personality - from 3000 to 5999 minutes," 5815.11,7753.48
"77", 208, "Personality - from 6000 up to 11999 minutes", 10601.2,14134.9333333333
"78", 209, "Personality - from 18000 up to 23999 minutes", 25964.17,34618.8933333333
"79", 213 "Crisis - from 1200 to 1799 minutes," 2047.23,2729.64
"80", 214 "Crisis - from 1800 minutes," 3372.67,4496.89333333333
"81", 215, "Treatment short - from 1 to 99 minutes", 97.19,129.586666666667
"82", 216, "short treatment - from 100 to 199 minutes," 231.31,308.413333333333
"83", 217 "Treatment Short - from 200 to 399 minutes," 440.49,587.32
"84", 221, "Attention Deficit - and Behavior - from 18000 up to 23999 minutes", 26927.74,35903.6533333333
"85", 222, "Attention Deficit - and behavior - for 24000 minutes", 9899.9,13199.8666666667
"86", 223 "Pervasive - from 1800 to 2999 minutes," 3083.89,4111.85333333333
"87", 224 "Pervasive - from 18000 to 23999 minutes," 26431.94,35242.5866666667
"88", 225 "Pervasive - from 24000 minutes," 9805.35,13073.8
"89", 226 "Other childhood - from 12000 to 17999 minutes," 8862.24,11816.32
"90", 227 "Other childhood - from 18000 minutes," 9369.86,12493.1466666667
"91", 228, "Delirium dementia and other - from 250 through 799 minutes", 888.46,1184.61333333333
"92", 229 "Delirium and dementia other - from 800 to 1799 minutes," 1700.2,2266.93333333333
"93", 230, "Schizophrenia - from 250 through 799 minutes", 913.16,1217.54666666667
"94", 231, "Depression - from 250 through 799 minutes", 872.52,1163.36
"95", 232 "Depression - from 800 to 1799 minutes," 1747.57,2330.09333333333
"96", 233 "Depression - from 1800 to 2999 minutes," 3222.37,4296.49333333333
"97", 234, "Depression - from 3000 to 5999 minutes," 5714.84,7619.78666666667
"98", 235, "Depression - from 6000 up to 11999 minutes", 11340.42,15120.56
"99", 236, "Bipolar and others - from 800 to 1799 minutes," 1804.03,2405.37333333333
"100," 237, "Anxiety - from 250 through 799 minutes", 861.89,1149.18666666667
"101", 238 "Anxiety - from 800 to 1799 minutes," 1776.96,2369.28
"102", 239, "Anxiety - from 1800 to 2999 minutes", 3239.1,4318.8
"103", 242, "Miscellaneous group diagnoses - from 250 through 799 minutes", 864.74,1152.98666666667
"104", 243, "Personality - from 1800 to 2999 minutes," 3250.07,4333.42666666667
"105", 244, "Personality - from 24000 up to 29999 minutes", 36687.34,48916.4533333333
"106", 245 "Personality - from 30000 minutes," 47855.81,63807.7466666667
"107", 246, "Somatoform - from 250 through 799 minutes", 891.84,1189.12
"108", 247, "Somatoform - from 800 to 1799 minutes," 1807,2409.33333333333
"109", 248, "Somatoform - from 1800 to 2999 minutes," 3244.37,4325.82666666667
"110", 249, "Somatoform - from 3000 to 5999 minutes," 5338.58,7118.10666666667
"111", 250, "Somatoform - from 6000 up to 11999 minutes", 10703,14270.6666666667
"112", 251 "Somatoform - from 12000 minutes," 18266.55,24355.4
"113", 252, "Eating disorder - from 250 through 799 minutes", 879.86,1173.14666666667
"114", 253, "Eating disorder - from 800 to 1799 minutes," 1788.8,2385.06666666667
"115", 254, "Eating disorder - from 1800 to 2999 minutes," 3277.4,4369.86666666667
"116", 255 "Eating disorder - from 3000 to 5999 minutes," 5478.34,7304.45333333333
"117", 256, "Eating disorder - from 6000 up to 11999 minutes", 11019.02,14692.0266666667
"118", 257 "Eating disorder - from 12000 to 17999 minutes," 16633.02,22177.36
"119", 258, "Eating disorder - for 18000 minutes", 24362.14,32482.8533333333
"120", 264 "Treatment Short - from 400 minutes", 759.78,1013.04
"121", 307 "Diagnostics - from 800 minutes", 1417.66,1890.21333333333
